WeekOfYear,RankThisWeek,RankKastWeek,Title,Studio,Revenue(USD),NumOfTheaters,ReleaseWeek
17,66,63,Risen,Sony,16888,41,10
17,67,52,Los Sures,Osci.,15087,1,2
17,68,,Streit's: Matzo and the American Dream,Men.,14768,3,1
17,69,,Tale of Tales,IFC,14719,2,1
17,70,77,Our Last Tango,Strand,14700,3,2
17,71,56,My Golden Days,Magn.,14532,16,6
17,72,83,How to Let Go of the World and Love All Things Climate Can't Change,WOW,12665,1,1
17,73,61,Where to Invade Next,Drft.,12412,15,11
17,74,62,The Dark Horse,BG,12276,7,4
17,75,67,Dough,Men.,11595,5,11
17,76,92,Under the Sea 3D,WB,10844,4,370
17,77,70,Vita Activa: The Spirit of Hannah Arendt,Zeit.,10547,3,3
17,78,73,Sold,Mats.,10376,9,4
17,79,86,Born to Be Wild (IMAX),WB,10285,8,258
17,80,,Love Thy Nature,ITL,8900,17,18
17,81,80,Island of Lemurs: Madagascar (IMAX),WB,8746,4,108
17,82,79,Fireworks Wednesday,Ghop,7911,5,6
17,83,,The Winding Stream,Argo.,7760,3,16
17,84,91,Too Late,Vanishing,6690,6,6
17,85,,Time Changer (2016 re-release),5&2,5520,5,7
17,86,,Eva Hesse,Zeit.,5132,1,-
17,87,,Men & Chicken,Drft.,4720,2,1
17,88,81,Sweet Bean,KL,4668,5,6
17,89,99,Galapagos (IMAX),Imax,4320,3,804
17,90,103,Space Station 3-D (IMAX),Imax,3888,3,703
17,91,93,The Wave,Magn.,3857,7,8
17,92,75,Gridiron Heroes,Indic.,3771,3,2
17,93,96,"Rio, I Love You",Scre.,3512,2,2
17,94,46,The Hateful Eight,Wein.,3044,9,18
17,95,,The Messenger (2015),KL,3022,3,12
17,96,74,Adderall Diaries,A24,2927,31,2
17,97,84,Knight of Cups,BG,2896,3,8
17,98,109,Mountains May Depart,KL,2896,3,11
17,99,85,Son of Saul,SPC,2854,7,19
17,100,,One Day Pina Asked...,Icar.,2790,1,70
17,101,72,Catching the Sun,TFC,2469,2,4
17,102,114,Ran (2016 re-issue),Rialto,2274,1,9
17,103,90,An Eye for Beauty,MR,2237,2,4
17,104,124,Aferim!,BWP,2080,2,14
17,105,101,Deep Sea 3D (IMAX),WB,1973,2,501
17,106,82,Requiem for the American Dream,TFC,1934,4,12
17,107,113,In Harmony,Distrib.,1841,2,2
17,108,100,Take Me to the River (2016),FM,1718,2,6
17,109,,Sworn Virgin,Strand,1617,1,1
17,110,106,To the Arctic (IMAX),WB,1505,1,200
17,111,,Sweet 20,CJ,1466,1,7
17,112,107,Of Mind and Music,Mont.,1421,1,11
17,113,120,Lolo,FR,1416,1,7
17,114,110,Cemetery of Splendor,Strand,1301,2,8
17,115,,River of Grass,Osci.,1224,1,7
17,116,98,Wedding Doll,Strand,1112,1,2
17,117,102,No Home Movie,Icar.,1044,2,10
17,118,118,I Don't Belong Anywhere: The Cinema of Chantal Akerman,Icar.,931,2,4
17,119,78,Krisha,A24,755,3,6
17,120,,Ingrid Bergman: In Her Own Words,Rialto,582,1,24
17,121,,Memoria,Mont.,440,6,3
17,122,121,Creative Control,Magn.,374,3,7
17,123,127,The Dying of the Light,FRun,363,1,3
17,124,97,Journey to the South Pacific,Imax,315,4,117
17,125,,"Rabin, the Last Day",KL,276,1,13
17,126,125,Troublemakers: The Story of Land Art,FRun,229,2,16
17,127,116,Mad Tiger,FM,199,1,6
17,128,119,Jafar Panahi's Taxi,KL,131,1,30
17,129,88,Neon Bull,KL,72,1,3
18,1,1,The Jungle Book (2016),BV,53455465,4041,3
18,2,2,The Huntsman: Winter's War,Uni.,12187595,3802,2
18,3,,Keanu,WB (NL),12020937,2681,1
18,4,,Mother's Day,ORF,11719690,3035,1
18,5,3,Barbershop: The Next Cut,WB (NL),7488203,2310,3
18,6,4,Zootopia,BV,6435501,2487,9
18,7,,Ratchet & Clank,Focus,5633633,2891,1
18,8,5,The Boss,Uni.,5491335,2823,4
18,9,6,Batman v Superman: Dawn of Justice,WB,4882540,2330,6
18,10,7,Criminal (2016),LG/S,1818127,1578,3
18,11,8,My Big Fat Greek Wedding 2,Uni.,1455865,1092,6
18,12,25,Green Room,A24,1323520,470,3
18,13,12,A Hologram for the King,RAtt.,1300895,523,2
18,14,11,Eye in the Sky,BST,1245665,614,8
18,15,10,Compadres,PNT,818139,368,2
18,16,13,God's Not Dead 2,PFR,808100,739,5
18,17,14,Miracles from Heaven,TriS,695779,660,7
18,18,15,"Hello, My Name is Doris",RAtt.,680306,406,8
18,19,,Papa: Hemingway in Cuba,YFG,663779,325,1
18,20,16,Deadpool,Fox,567891,409,12
18,21,18,Everybody Wants Some!!,Par.,522218,442,5
18,22,17,Miles Ahead,SPC,491978,390,5
18,23,31,Sing Street,Wein.,432789,104,3
18,24,,A Beautiful Planet,Imax,407148,137,1
18,25,20,10 Cloverfield Lane,Par.,394644,305,8
18,26,19,The Divergent Series: Allegiant,LG/S,373342,410,7
18,27,23,Kung Fu Panda 3,Fox,322613,258,14
18,28,,Baaghi,UTV,314849,78,1
18,29,21,Elvis & Nixon,BST,301334,310,2
18,30,27,London Has Fallen,Focus,193423,178,9
18,31,41,Spotlight,ORF,163272,224,26
18,32,28,Star Wars: The Force Awakens,BV,161794,158,20
18,33,30,WARx2,WARX2,155102,11,10
18,34,75,Dough,Men.,144602,34,12
18,35,33,The First Monday in May,Magn.,120848,45,3
18,36,,The Man Who Knew Infinity,IFC,107995,6,1
18,37,29,Midnight Special,WB,100280,102,7
18,38,32,The Revenant,Fox,94272,141,19
18,39,24,Unsullied,Indic.,91000,56,2
18,40,22,Hardcore Henry,STX,88274,119,4
18,41,26,Meet the Blacks,Free,84006,92,5
18,42,34,Gods of Egypt,LG/S,77395,107,10
18,43,37,The 5th Wave,Sony,70687,74,15
18,44,,Viva,Magn.,67591,14,1
18,45,66,Risen,Sony,65263,101,11
18,46,44,Vaxxed: From Cover-Up to Catastrophe,CLS,63833,8,5
18,47,39,The Lady in the Van,SPC,63677,61,22
18,48,38,Ride Along 2,Uni.,52820,58,16
18,49,36,Born to be Blue (US Release),IFC,45930,44,6
18,50,46,Francofonia,MBox,39871,20,5
18,51,43,Eddie the Eagle,Fox,38452,59,10
18,52,40,Saturday's Warrior,Purd.,36822,19,5
18,53,51,Louder than Bombs,Orch.,34720,40,4
18,54,56,The Lobster (Canada Release),Mon,32831,15,6
18,55,49,April and the Extraordinary World,GK,31856,30,6
18,56,54,Embrace of the Serpent,Osci.,27565,17,11
18,57,47,Remember (US Release),A24,25761,15,8
18,58,,A Bigger Splash,FoxS,24067,4,-
18,59,86,Eva Hesse,Zeit.,24014,1,1
18,60,58,Marguerite,Cohen,21569,20,8
18,61,,Term Life,FCW,21256,50,1
18,62,45,The Invitation,Drft.,21161,22,4
18,63,48,The Witch,A24,20423,25,11
18,64,69,Tale of Tales,IFC,20374,9,2
18,65,62,Brooklyn,FoxS,20118,22,26
18,66,,The Family Fang,SM,20068,1,1
18,67,,The Congressman,Shad.,19574,4,1
18,68,63,"Hail, Caesar!",Uni.,17900,21,13
18,69,50,I Saw the Light,SPC,17832,32,6
18,70,42,Chongqing Hot Pot,CL,17528,6,5
18,71,61,Hockney,FM,17039,8,2
18,72,55,Time Renegades,CJ,16624,7,3
18,73,65,Alvin and the Chipmunks: The Road Chip,Fox,16352,41,20
18,74,76,Under the Sea 3D,WB,15865,6,372
18,75,60,The Little Prince,EOne,15226,27,12
18,76,64,Hubble 3D,WB,13934,8,318
18,77,71,My Golden Days,Magn.,13916,15,7
18,78,82,Fireworks Wednesday,Ghop,13046,3,7
18,79,57,City of Gold,IFC,12877,16,8
18,80,93,"Rio, I Love You",Scre.,10155,10,3
18,81,77,Vita Activa: The Spirit of Hannah Arendt,Zeit.,9949,3,4
18,82,70,Our Last Tango,Strand,9551,5,3
18,83,79,Born to Be Wild (IMAX),WB,9368,8,260
18,84,,L'attesa,Osci.,8427,2,1
18,85,67,Los Sures,Osci.,7551,1,3
18,87,74,The Dark Horse,BG,6506,5,5
18,86,97,Knight of Cups,BG,6506,4,9
18,88,81,Island of Lemurs: Madagascar (IMAX),WB,6428,6,109
18,89,,Bourek,Argo.,5844,1,1
18,90,52,The Measure of a Man,KL,5609,1,3
18,91,84,Too Late,Vanishing,5272,7,7
18,92,78,Sold,Mats.,4971,6,5
18,93,,Viktoria,BWP,4840,2,1
18,94,87,Men & Chicken,Drft.,3701,4,2
18,95,90,Space Station 3-D (IMAX),Imax,3622,3,704
18,96,59,"New York, New York (2016)",CL,3518,2,3
18,97,,Be Here Now: The Andy Whitfield Story,TUG,2914,3,4
18,98,124,Journey to the South Pacific,Imax,2695,3,119
18,99,85,Time Changer (2016 re-release),5&2,2090,1,9
18,100,,Songs My Brothers Taught Me,KL,2041,2,9
18,101,110,To the Arctic (IMAX),WB,1943,2,201
18,102,91,The Wave,Magn.,1818,4,9
18,103,,A Matter of Faith,5&2,1810,1,61
18,104,72,How to Let Go of the World and Love All Things Climate Can't Change,WOW,1538,1,2
18,105,89,Galapagos (IMAX),Imax,1328,2,806
18,106,109,Sworn Virgin,Strand,1187,2,2
18,107,119,Krisha,A24,1184,4,7
18,108,98,Mountains May Depart,KL,871,2,12
18,109,,Marinoni: The Fire in the Frame,FRun,785,1,5
18,110,,Valley of Love,Strand,764,1,6
18,111,105,Deep Sea 3D (IMAX),WB,750,0,502
18,113,,The Dog Wedding,25th Frame,688,1,8
18,112,,Janis: Little Girl Blue,FR,688,1,23
18,114,126,Troublemakers: The Story of Land Art,FRun,652,2,17
18,115,88,Sweet Bean,KL,644,2,7
18,116,,Hot Water,Indic.,583,1,5
18,117,114,Cemetery of Splendor,Strand,486,2,9
18,118,120,Ingrid Bergman: In Her Own Words,Rialto,282,1,25
18,119,117,No Home Movie,Icar.,229,1,11
18,120,113,Lolo,FR,194,1,8
18,121,99,Son of Saul,SPC,175,2,20
18,122,125,"Rabin, the Last Day",KL,152,1,14
18,123,121,Memoria,Mont.,24,1,4
19,1,,Captain America: Civil War,BV,223329078,4226,1
19,2,1,The Jungle Book (2016),BV,30883845,4144,4
19,3,4,Mother's Day,ORF,13778430,3141,2
19,4,2,The Huntsman: Winter's War,Uni.,5175630,2901,3
19,5,3,Keanu,WB (NL),4691566,2681,2
19,6,6,Zootopia,BV,4066449,2077,10
19,7,5,Barbershop: The Next Cut,WB (NL),3611859,1734,4
19,8,8,The Boss,Uni.,2609240,1933,5
19,9,7,Ratchet & Clank,Focus,1883624,2895,2
19,10,9,Batman v Superman: Dawn of Justice,WB,1474110,1593,7
19,11,11,My Big Fat Greek Wedding 2,Uni.,845225,640,7
19,12,14,Eye in the Sky,BST,786256,419,9
19,13,13,A Hologram for the King,RAtt.,716612,400,3
19,14,23,Sing Street,Wein.,581438,153,4
19,15,12,Green Room,A24,576189,470,4
19,16,18,"Hello, My Name is Doris",RAtt.,526475,294,9
19,17,10,Criminal (2016),LG/S,446953,517,4
19,18,,The Meddler,SPC,368537,53,3
19,19,20,Deadpool,Fox,355913,335,13
19,20,17,Miracles from Heaven,TriS,325389,301,8
19,21,36,The Man Who Knew Infinity,IFC,300380,40,2
19,22,24,A Beautiful Planet,Imax,297572,155,2
19,23,19,Papa: Hemingway in Cuba,YFG,293265,208,2
19,24,15,Compadres,PNT,284882,212,3
19,25,16,God's Not Dead 2,PFR,260604,300,6
19,26,27,Kung Fu Panda 3,Fox,237458,239,15
19,27,22,Miles Ahead,SPC,194129,141,6
19,28,34,Dough,Men.,180399,54,13
19,29,25,10 Cloverfield Lane,Par.,166414,176,9
19,30,21,Everybody Wants Some!!,Par.,164700,131,6
19,31,33,WARx2,WARX2,159946,11,12
19,32,58,A Bigger Splash,FoxS,158362,5,1
19,33,26,The Divergent Series: Allegiant,LG/S,150326,210,8
19,34,32,Star Wars: The Force Awakens,BV,133891,117,21
19,35,66,The Family Fang,SM,131884,52,2
19,36,30,London Has Fallen,Focus,123627,125,10
19,37,28,Baaghi,UTV,89229,53,2
19,38,41,Meet the Blacks,Free,78415,86,6
19,39,46,Vaxxed: From Cover-Up to Catastrophe,CLS,77975,14,6
19,40,83,Born to Be Wild (IMAX),WB,74108,7,262
19,41,29,Elvis & Nixon,BST,68909,62,3
19,42,35,The First Monday in May,Magn.,68627,30,4
19,43,39,Unsullied,Indic.,65255,31,3
19,44,43,The 5th Wave,Sony,51902,70,16
19,45,50,Francofonia,MBox,50957,25,6
19,46,44,Viva,Magn.,45782,17,2
19,47,38,The Revenant,Fox,44976,87,20
19,48,42,Gods of Egypt,LG/S,44032,87,11
19,49,37,Midnight Special,WB,43721,57,8
19,50,45,Risen,Sony,43414,85,12
19,51,49,Born to be Blue (US Release),IFC,39025,32,7
19,52,47,The Lady in the Van,SPC,38967,38,23
19,53,,Phantom of the Theatre,WGUSA,34042,26,1
19,54,48,Ride Along 2,Uni.,33610,52,17
19,55,59,Eva Hesse,Zeit.,31340,1,2
19,56,,Dheepan,IFC,30667,2,1
19,57,55,April and the Extraordinary World,GK,29979,35,7
19,58,,Band of Outsiders (2016 re-issue),Rialto,24118,2,1
19,59,52,Saturday's Warrior,Purd.,23608,15,6
19,60,51,Eddie the Eagle,Fox,23407,37,11
19,61,57,Remember (US Release),A24,20700,12,9
19,62,,Dark Horse (2016),SPC,19667,3,1
19,63,64,Tale of Tales,IFC,17425,15,3
19,64,54,The Lobster (Canada Release),Mon,17104,9,7
19,65,67,The Congressman,Shad.,16854,10,2
19,66,40,Hardcore Henry,STX,16698,51,5
19,67,65,Brooklyn,FoxS,16643,22,27
19,68,76,Hubble 3D,WB,15970,5,320
19,69,84,L'attesa,Osci.,15777,7,2
19,70,56,Embrace of the Serpent,Osci.,15628,10,12
19,71,,Being Charlie,Pala.,14889,4,1
19,72,81,Vita Activa: The Spirit of Hannah Arendt,Zeit.,14764,4,5
19,73,53,Louder than Bombs,Orch.,14050,23,5
19,74,60,Marguerite,Cohen,13425,10,9
19,75,82,Our Last Tango,Strand,13284,6,4
19,76,68,"Hail, Caesar!",Uni.,12695,19,14
19,77,63,The Witch,A24,12645,14,12
19,78,75,The Little Prince,EOne,12644,25,13
19,79,80,"Rio, I Love You",Scre.,10312,15,4
19,80,74,Under the Sea 3D,WB,9791,5,374
19,81,79,City of Gold,IFC,9684,12,9
19,82,73,Alvin and the Chipmunks: The Road Chip,Fox,9627,32,21
19,83,77,My Golden Days,Magn.,8345,10,8
19,84,78,Fireworks Wednesday,Ghop,8110,3,8
19,85,,Love Thy Nature,ITL,8085,2,21
19,86,71,Hockney,FM,7928,10,3
19,87,88,Island of Lemurs: Madagascar (IMAX),WB,7593,3,110
19,88,95,Space Station 3-D (IMAX),Imax,6510,3,705
19,89,,Elstree 1976,FR,6093,14,1
19,90,69,I Saw the Light,SPC,5965,16,7
19,91,94,Men & Chicken,Drft.,5861,6,3
19,92,62,The Invitation,Drft.,5768,10,5
19,93,92,Sold,Mats.,5310,6,6
19,94,86,Knight of Cups,BG,5103,4,10
19,95,70,Chongqing Hot Pot,CL,4517,2,6
19,96,85,Los Sures,Osci.,4398,1,4
19,97,,Wedding Doll,Strand,4377,2,4
19,98,111,Deep Sea 3D (IMAX),WB,4097,3,504
19,99,108,Mountains May Depart,KL,3800,1,13
19,100,90,The Measure of a Man,KL,3392,3,4
19,101,,Mad Tiger,FM,3334,1,8
19,102,91,Too Late,Vanishing,3239,3,8
19,103,,Catching the Sun,TFC,2995,3,6
19,104,120,Lolo,FR,2657,1,9
19,105,,Neon Bull,KL,2479,4,5
19,106,,The Professor: Tai Chi's Journey West,FRun,2399,1,1
19,107,115,Sweet Bean,KL,2260,3,8
19,108,107,Krisha,A24,1980,4,8
19,109,121,Son of Saul,SPC,1914,4,21
19,110,87,The Dark Horse,BG,1731,3,6
19,111,123,Memoria,Mont.,1644,1,5
19,112,99,Time Changer (2016 re-release),5&2,1500,1,11
19,113,,Tab Hunter Confidential,TFC,1434,2,12
19,114,72,Time Renegades,CJ,1297,2,4
19,115,100,Songs My Brothers Taught Me,KL,1227,2,10
19,116,96,"New York, New York (2016)",CL,1180,1,4
19,117,110,Valley of Love,Strand,1087,1,7
19,118,98,Journey to the South Pacific,Imax,1074,2,121
19,119,,Gridiron Heroes,Indic.,1064,3,4
19,120,105,Galapagos (IMAX),Imax,924,1,807
19,121,106,Sworn Virgin,Strand,842,2,3
19,122,,Requiem for the American Dream,TFC,833,2,14
19,123,118,Ingrid Bergman: In Her Own Words,Rialto,336,0,26
19,124,101,To the Arctic (IMAX),WB,75,0,202
19,125,119,No Home Movie,Icar.,42,0,12
20,1,1,Captain America: Civil War,BV,90947075,4226,2
20,2,2,The Jungle Book (2016),BV,22484455,3970,5
20,3,,Money Monster,TriS,20023647,3104,1
20,4,,The Darkness,BH Tilt,6097482,1755,1
20,5,3,Mother's Day,ORF,4675602,3291,3
20,6,6,Zootopia,BV,3686089,1935,11
20,7,4,The Huntsman: Winter's War,Uni.,3519440,2518,4
20,8,5,Keanu,WB (NL),2770847,2120,3
20,9,7,Barbershop: The Next Cut,WB (NL),2188728,1333,5
20,10,8,The Boss,Uni.,1641770,1350,6
20,11,14,Sing Street,Wein.,866610,525,5
20,12,9,Ratchet & Clank,Focus,832303,1258,3
20,13,10,Batman v Superman: Dawn of Justice,WB,737776,744,8
20,14,21,The Man Who Knew Infinity,IFC,722952,194,3
20,15,11,My Big Fat Greek Wedding 2,Uni.,695475,717,8
20,16,15,Green Room,A24,641485,777,5
20,17,18,The Meddler,SPC,577748,127,4
20,18,12,Eye in the Sky,BST,518560,360,10
20,19,16,"Hello, My Name is Doris",RAtt.,389797,258,10
20,20,22,A Beautiful Planet,Imax,365163,39,3
20,21,13,A Hologram for the King,RAtt.,351691,346,4
20,22,19,Deadpool,Fox,279995,262,14
20,23,,The Lobster (US Release),A24,278138,4,1
20,24,29,10 Cloverfield Lane,Par.,274461,260,10
20,25,32,A Bigger Splash,FoxS,267344,26,2
20,26,26,Kung Fu Panda 3,Fox,248064,216,16
20,27,20,Miracles from Heaven,TriS,227714,243,9
20,28,17,Criminal (2016),LG/S,226521,346,5
20,29,24,Compadres,PNT,202400,127,4
20,30,,Love & Friendship,RAtt.,198333,4,1
20,31,36,London Has Fallen,Focus,189720,180,11
20,32,31,WARx2,WARX2,165637,11,14
20,33,25,God's Not Dead 2,PFR,163459,213,7
20,34,34,Star Wars: The Force Awakens,BV,122883,78,22
20,35,27,Miles Ahead,SPC,122635,84,7
20,36,,High-Rise,Magn.,120338,41,1
20,37,28,Dough,Men.,118050,55,14
20,38,33,The Divergent Series: Allegiant,LG/S,117236,160,9
20,39,23,Papa: Hemingway in Cuba,YFG,110983,96,3
20,40,30,Everybody Wants Some!!,Par.,91649,72,7
20,41,,Jimmy Vestvood: Amerikan Hero,SkyI,78250,4,1
20,42,35,The Family Fang,SM,72780,49,3
20,43,38,Meet the Blacks,Free,55114,63,7
20,44,39,Vaxxed: From Cover-Up to Catastrophe,CLS,48515,9,7
20,45,49,Midnight Special,WB,40711,43,9
20,46,52,The Lady in the Van,SPC,36341,35,24
20,47,44,The 5th Wave,Sony,35917,57,17
20,48,59,Saturday's Warrior,Purd.,35341,17,7
20,49,56,Dheepan,IFC,32518,5,2
20,50,62,Dark Horse (2016),SPC,32465,10,2
20,51,37,Baaghi,UTV,28281,28,3
20,52,45,Francofonia,MBox,26370,19,7
20,53,42,The First Monday in May,Magn.,25965,22,5
20,54,43,Unsullied,Indic.,24492,12,4
20,55,54,Ride Along 2,Uni.,24190,38,18
20,56,51,Born to be Blue (US Release),IFC,24150,16,8
20,57,,Sunset Song,Magn.,23940,3,1
20,58,46,Viva,Magn.,23918,16,3
20,59,,Project Itoh - Harmony,FUN,22488,43,-
20,60,47,The Revenant,Fox,21748,44,21
20,61,64,The Lobster (Canada Release),Mon,18796,8,8
20,62,57,April and the Extraordinary World,GK,18679,20,8
20,63,68,Hubble 3D,WB,18426,6,322
20,64,63,Tale of Tales,IFC,17496,11,4
20,65,100,The Measure of a Man,KL,17476,5,5
20,66,40,Born to Be Wild (IMAX),WB,16086,10,264
20,67,55,Eva Hesse,Zeit.,15948,5,3
20,68,60,Eddie the Eagle,Fox,15380,26,12
20,69,50,Risen,Sony,15153,33,13
20,70,65,The Congressman,Shad.,14961,13,3
20,71,71,Being Charlie,Pala.,13958,14,2
20,72,67,Brooklyn,FoxS,13755,22,28
20,73,,Phantom Detective,CJ,13730,1,1
20,74,69,L'attesa,Osci.,13709,9,3
20,75,75,Our Last Tango,Strand,12594,6,5
20,76,74,Marguerite,Cohen,12470,12,10
20,77,70,Embrace of the Serpent,Osci.,11608,8,13
20,78,61,Remember (US Release),A24,11570,10,10
20,79,78,The Little Prince,EOne,10394,20,14
20,80,,Pele: Birth of a Legend,IFC,10189,3,1
20,81,82,Alvin and the Chipmunks: The Road Chip,Fox,9860,25,22
20,82,73,Louder than Bombs,Orch.,9174,25,6
20,83,76,"Hail, Caesar!",Uni.,8795,12,15
20,84,80,Under the Sea 3D,WB,8716,6,376
20,85,107,Sweet Bean,KL,7984,5,9
20,86,96,Los Sures,Osci.,7464,1,5
20,87,84,Fireworks Wednesday,Ghop,7380,4,9
20,88,98,Deep Sea 3D (IMAX),WB,7235,2,506
20,89,,Paths of the Soul,Icar.,7130,1,1
20,90,90,I Saw the Light,SPC,5956,10,8
20,91,81,City of Gold,IFC,5636,9,10
20,92,,A Monster with a Thousand Heads,MBox,5593,2,1
20,93,99,Mountains May Depart,KL,5350,3,14
20,94,77,The Witch,A24,4958,9,13
20,95,87,Island of Lemurs: Madagascar (IMAX),WB,4574,4,111
20,96,,Search Party,FCW,4571,10,1
20,97,86,Hockney,FM,4354,3,4
20,98,88,Space Station 3-D (IMAX),Imax,4108,0,706
20,99,91,Men & Chicken,Drft.,4085,9,4
20,100,95,Chongqing Hot Pot,CL,3875,2,7
20,101,92,The Invitation,Drft.,3839,6,6
20,102,,Star Crossed,Indic.,3777,2,1
20,103,79,"Rio, I Love You",Scre.,3372,7,5
20,104,,A Bit of Bad Luck,Indic.,3228,2,1
20,105,93,Sold,Mats.,3218,3,7
20,106,120,Galapagos (IMAX),Imax,2616,1,808
20,107,105,Neon Bull,KL,2543,2,6
20,108,58,Band of Outsiders (2016 re-issue),Rialto,2420,1,2
20,109,125,No Home Movie,Icar.,2200,1,13
20,110,89,Elstree 1976,FR,2177,3,2
20,111,108,Krisha,A24,2111,3,9
20,112,83,My Golden Days,Magn.,1999,4,9
20,113,72,Vita Activa: The Spirit of Hannah Arendt,Zeit.,1960,2,6
20,114,110,The Dark Horse,BG,1683,5,7
20,115,102,Too Late,Vanishing,1266,3,9
20,116,118,Journey to the South Pacific,Imax,1035,1,123
20,117,109,Son of Saul,SPC,865,1,22
20,118,,I Don't Belong Anywhere: The Cinema of Chantal Akerman,Icar.,827,1,7
20,119,123,Ingrid Bergman: In Her Own Words,Rialto,660,1,27
20,120,,The Program (2016),EOne,492,1,9
20,121,124,To the Arctic (IMAX),WB,463,1,204
20,122,106,The Professor: Tai Chi's Journey West,FRun,309,1,2
20,123,114,Time Renegades,CJ,239,1,5
20,124,121,Sworn Virgin,Strand,233,1,4
20,125,101,Mad Tiger,FM,167,1,9
20,126,,The Dying of the Light,FRun,142,1,6
20,127,,Cemetery of Splendor,Strand,99,1,11
21,1,,The Angry Birds Movie,Sony,47653309,3932,1
21,2,1,Captain America: Civil War,BV,43199796,4226,3
21,3,,Neighbors 2: Sorority Rising,Uni.,29236580,3384,1
21,4,,The Nice Guys,WB,15363672,2865,1
21,5,2,The Jungle Book (2016),BV,15031344,3460,6
21,6,3,Money Monster,TriS,9628579,3104,2
21,7,4,The Darkness,BH Tilt,3014897,1769,2
21,8,6,Zootopia,BV,2343117,1377,12
21,9,5,Mother's Day,ORF,1710221,1719,4
21,10,7,The Huntsman: Winter's War,Uni.,1652055,1246,5
21,11,17,The Meddler,SPC,1177297,464,5
21,12,9,Barbershop: The Next Cut,WB (NL),1112162,744,6
21,13,10,The Boss,Uni.,856630,672,7
21,14,30,Love & Friendship,RAtt.,795215,47,2
21,15,8,Keanu,WB (NL),759068,707,4
21,16,14,The Man Who Knew Infinity,IFC,731431,271,4
21,17,23,The Lobster (US Release),A24,560956,24,2
21,18,15,My Big Fat Greek Wedding 2,Uni.,506240,365,9
21,19,11,Sing Street,Wein.,506229,520,6
21,20,25,A Bigger Splash,FoxS,463078,128,3
21,21,13,Batman v Superman: Dawn of Justice,WB,426906,321,9
21,22,27,Miracles from Heaven,TriS,382126,199,10
21,23,20,A Beautiful Planet,Imax,352025,40,4
21,24,26,Kung Fu Panda 3,Fox,303897,219,17
21,25,18,Eye in the Sky,BST,252619,198,11
21,26,12,Ratchet & Clank,Focus,247210,346,4
21,27,19,"Hello, My Name is Doris",RAtt.,203854,156,11
21,28,22,Deadpool,Fox,183479,192,15
21,29,16,Green Room,A24,181412,162,6
21,30,38,The Divergent Series: Allegiant,LG/S,174173,194,10
21,31,32,WARx2,WARX2,168371,10,16
21,32,,Kaptaan,UTV,163661,29,1
21,33,24,10 Cloverfield Lane,Par.,161535,176,11
21,34,,Minimalism: A Documentary About the Important Things,Gathr,151942,80,-
21,35,31,London Has Fallen,Focus,135798,139,12
21,36,,Weiner,IFC,128668,5,1
21,37,34,Star Wars: The Force Awakens,BV,101802,58,23
21,38,21,A Hologram for the King,RAtt.,98475,138,5
21,39,,Maggie's Plan,SPC,88478,5,1
21,40,37,Dough,Men.,86935,51,15
21,41,29,Compadres,PNT,80163,82,5
21,42,33,God's Not Dead 2,PFR,78234,102,8
21,43,36,High-Rise,Magn.,68504,34,2
21,44,28,Criminal (2016),LG/S,65928,142,6
21,45,35,Miles Ahead,SPC,62774,52,8
21,46,41,Jimmy Vestvood: Amerikan Hero,SkyI,42935,6,2
21,47,50,Dark Horse (2016),SPC,42340,17,3
21,48,73,Phantom Detective,CJ,42253,15,2
21,49,39,Papa: Hemingway in Cuba,YFG,38868,45,4
21,50,44,Vaxxed: From Cover-Up to Catastrophe,CLS,38283,9,8
21,51,43,Meet the Blacks,Free,34451,50,8
21,52,46,The Lady in the Van,SPC,30438,25,25
21,53,57,Sunset Song,Magn.,29444,10,2
21,54,42,The Family Fang,SM,24908,26,4
21,55,80,Pele: Birth of a Legend,IFC,24431,19,2
21,56,49,Dheepan,IFC,23244,10,3
21,57,48,Saturday's Warrior,Purd.,21911,10,8
21,58,55,Ride Along 2,Uni.,21620,34,19
21,59,64,Tale of Tales,IFC,18320,13,5
21,60,58,Viva,Magn.,18215,13,4
21,61,61,The Lobster (Canada Release),Mon,16159,7,9
21,62,83,"Hail, Caesar!",Uni.,16110,10,16
21,63,47,The 5th Wave,Sony,15397,32,18
21,64,52,Francofonia,MBox,14357,11,8
21,65,97,Hockney,FM,14335,10,5
21,66,45,Midnight Special,WB,13544,24,10
21,67,66,Born to Be Wild (IMAX),WB,13239,12,266
21,68,72,Brooklyn,FoxS,12463,22,29
21,69,63,Hubble 3D,WB,12355,8,323
21,70,65,The Measure of a Man,KL,11937,6,6
21,71,68,Eddie the Eagle,Fox,11471,20,13
21,72,62,April and the Extraordinary World,GK,10996,15,9
21,73,,Ma ma,Osci.,10194,1,1
21,74,67,Eva Hesse,Zeit.,9771,7,4
21,75,78,Remember (US Release),A24,9753,5,11
21,76,70,The Congressman,Shad.,9402,6,4
21,77,84,Under the Sea 3D,WB,8748,7,378
21,78,,Kaili Blues,Ghop,7995,1,1
21,79,75,Our Last Tango,Strand,7871,5,6
21,80,92,A Monster with a Thousand Heads,MBox,7211,4,2
21,81,79,The Little Prince,EOne,7196,11,15
21,82,60,The Revenant,Fox,6656,14,22
21,83,51,Baaghi,UTV,5848,8,4
21,84,,Almost Holy,Orch.,5479,5,1
21,85,,Fritz Lang's Destiny (2016 re-release),KL,5250,1,1
