WeekOfYear,RankThisWeek,RankKastWeek,Title,Studio,Revenue(USD),NumOfTheaters,ReleaseWeek
2,31,,The Masked Saint,Free,179635,482,1
2,32,25,Mr. Six,CL,177932,32,3
2,33,28,Goosebumps,Sony,176305,164,13
2,34,29,Trumbo (2015),BST,166457,90,10
2,35,30,Bridge of Spies,BV,156302,95,13
2,36,38,45 Years,IFC,110629,9,3
2,37,85,Yellow Day (2015),PFP,105488,40,5
2,38,34,Love the Coopers,LGF,67017,128,9
2,39,,Dictator,Eros,62166,19,-
2,40,39,Ho Mann Jahaan,Eros,61648,23,2
2,41,26,Dilwale,UTV,61301,42,4
2,42,40,The 33,WB,60801,82,9
2,43,35,Mojin: The Lost Legend,WGUSA,60140,12,4
2,44,41,Macbeth (2015),Wein.,57879,22,6
2,45,45,Son of Saul,SPC,44310,4,4
2,46,43,Sicario,LGF,44110,53,17
2,47,51,Hubble 3D,WB,41032,10,285
2,48,44,The Secret in their Eyes (2015),STX,40678,62,8
2,49,49,Janis: Little Girl Blue,FR,39963,13,7
2,50,42,Devil and Angel (E Gun Tian Shi),CL,39781,9,2
2,51,47,Mustang,Cohen,36978,14,8
2,52,37,The Night Before,Sony,33790,64,8
2,53,55,Peggy Guggenheim Art Addict,SD,32873,10,10
2,54,50,Chimes at Midnight (2016 re-release),Jan.,31422,2,2
2,55,,Trust Fund,Trans,24743,4,1
2,56,62,Grandma (2015),SPC,22401,38,21
2,57,48,Maze Runner: The Scorch Trials,Fox,22260,39,17
2,58,57,Hitchcock/Truffaut,Cohen,20866,17,6
2,59,54,Suffragette,Focus,20802,21,12
2,60,,The Treasure,SDS,19119,3,1
2,61,64,Remember,EOne,14584,8,13
2,62,46,Chi-Raq,RAtt.,14315,14,6
2,63,53,Only Yesterday (2016 re-release),GK,13806,1,2
2,64,,Troublemakers: The Story of Land Art,FRun,10408,5,1
2,65,,Anesthesia,IFC,10085,1,1
2,66,,Ingrid Bergman: In Her Own Words,Rialto,9274,2,9
2,67,87,Entertainment,Magn.,8860,1,9
2,68,65,Labyrinth of Lies,SPC,7185,8,15
2,69,58,Heart of a Dog,Abr.,7054,4,12
2,70,60,The Letters,Free,6758,5,6
2,71,,Censored Voices,MBox,6194,3,8
2,72,81,Flowers,MBox,5368,5,11
2,73,63,Woodlawn,PFR,5351,8,13
2,74,68,Born to Be Wild (IMAX),WB,4510,3,228
2,75,67,The Winding Stream,Argo.,4429,0,4
2,76,61,Theeb,FM,4369,7,10
2,77,,Lamb (2016),Orch.,3747,2,1
2,78,70,Noma - My Perfect Storm,Magn.,3619,4,4
2,79,71,Truth,SPC,3614,7,13
2,80,80,Island of Lemurs: Madagascar (IMAX),WB,3538,4,93
2,81,73,Burnt,Wein.,3534,3,11
2,82,77,Deep Sea 3D (IMAX),WB,3028,2,470
2,83,72,Amy,A24,2818,1,28
2,84,59,Under the Sea 3D,WB,2321,1,341
2,85,76,The World of Kanako,Drft.,1620,3,6
2,86,66,Yosemite,Mont.,1499,2,2
2,87,75,Jafar Panahi's Taxi,KL,1212,2,15
2,88,,Galapagos (IMAX),Imax,1185,2,792
2,89,78,Journey to the South Pacific,Imax,1159,2,92
2,90,,To the Arctic (IMAX),WB,1052,1,171
2,91,,River of Fundament,ICir,1001,1,4
2,92,83,In Jackson Heights,Zipp.,958,2,10
2,93,79,Pearl Button,KL,911,1,12
2,94,,Space Station 3-D (IMAX),Imax,765,1,680
2,95,82,The Summer of Sangaile,Strand,88,1,8
2,96,86,The Lady in the Car with Glasses and a Gun,Magn.,76,1,4
3,1,,Ride Along 2,Uni.,46150040,3175,1
3,2,1,The Revenant,Fox,45017753,3559,4
3,3,2,Star Wars: The Force Awakens,BV,39099505,3822,5
3,4,,13 Hours: The Secret Soldiers of Benghazi,Par.,23733429,2389,1
3,5,3,Daddy's Home,Par.,13554163,3322,4
3,6,,Norm of the North,LGF,10196203,2411,1
3,7,4,The Forest,Focus,7973783,2509,2
3,8,7,The Big Short,Par.,7892959,1765,6
3,9,5,Sisters,Uni.,6603360,2313,5
3,10,6,The Hateful Eight,Wein.,5462184,2385,4
3,11,8,Alvin and the Chipmunks: The Road Chip,Fox,4702691,2221,5
3,12,9,Joy,Fox,4409370,1796,4
3,13,16,Brooklyn,FoxS,2914708,687,11
3,14,17,Spotlight,ORF,2656182,985,11
3,15,13,Carol,Wein.,2239177,790,9
3,16,14,The Good Dinosaur,BV,1690792,812,8
3,17,12,The Hunger Games: Mockingjay - Part 2,LGF,1646206,797,9
3,18,15,Creed,WB (NL),1645156,878,8
3,19,10,Concussion (2015),Sony,1503579,1041,4
3,20,29,Room,A24,1257284,293,14
3,21,18,The Danish Girl,Focus,1148740,479,8
3,22,,Patterns of Evidence: The Exodus,TMF,764309,0,-
3,22,11,Point Break (2015),WB,667986,504,4
3,23,21,The Martian,Fox,662374,275,16
3,24,24,Anomalisa,Par.,460709,37,3
3,25,20,Spectre,Sony,440714,288,11
3,26,,Mad Max: Fury Road (Academy Re-Release),WB,421986,0,1
3,27,22,The Peanuts Movie,Fox,378593,259,11
3,28,,Detective Chinatown (Tang ren jie tan an),CL,365507,33,1
3,29,19,Wazir,Relbig.,339652,93,2
3,30,35,Bridge of Spies,BV,321368,173,14
3,31,26,In the Heart of the Sea,WB,300741,236,6
3,32,28,Hotel Transylvania 2,Sony,257314,157,17
3,33,25,Youth,FoxS,241677,94,7
3,34,45,Son of Saul,SPC,185596,21,5
3,35,33,Goosebumps,Sony,178916,125,14
3,36,51,Mustang,Cohen,150050,52,9
3,37,23,Bajirao Mastani,Eros,147369,302,5
3,38,36,45 Years,IFC,145627,14,4
3,39,34,Trumbo (2015),BST,139006,66,11
3,40,27,The Himalayas,CJ,113103,19,5
3,41,,The Lady in the Van,SPC,94757,4,5
3,42,44,Macbeth (2015),Wein.,53863,19,7
3,43,30,Krampus,Uni.,48575,106,7
3,44,47,Hubble 3D,WB,48005,8,287
3,45,32,Mr. Six,CL,42288,11,4
3,46,39,Dictator,Eros,41330,19,1
3,47,40,Ho Mann Jahaan,Eros,30239,23,3
3,48,41,Dilwale,UTV,26249,12,5
3,49,42,The 33,WB,22686,34,10
3,50,,Band of Robbers,Grav.,20555,11,1
3,51,54,Chimes at Midnight (2016 re-release),Jan.,18610,4,3
3,52,76,Theeb,FM,18260,13,11
3,53,62,Chi-Raq,RAtt.,16630,17,7
3,54,,In the Shadow of Women,Distrib.,16250,2,1
3,55,80,Island of Lemurs: Madagascar (IMAX),WB,14362,4,94
3,56,49,Janis: Little Girl Blue,FR,13859,8,8
3,57,63,Only Yesterday (2016 re-release),GK,11363,1,3
3,58,79,Truth,SPC,10559,14,14
3,59,60,The Treasure,SDS,10325,3,2
3,60,50,Devil and Angel (E Gun Tian Shi),CL,9344,5,3
3,61,65,Anesthesia,IFC,8903,2,2
3,62,68,Labyrinth of Lies,SPC,8650,6,16
3,63,,Remember You,CJ,8524,2,1
3,64,64,Troublemakers: The Story of Land Art,FRun,7554,5,2
3,65,55,Trust Fund,Trans,6918,3,2
3,66,67,Entertainment,Magn.,6684,3,10
3,67,37,Yellow Day (2015),PFP,6420,22,6
3,68,58,Hitchcock/Truffaut,Cohen,6141,7,7
3,69,56,Grandma (2015),SPC,6101,13,22
3,70,69,Heart of a Dog,Abr.,5717,4,13
3,71,66,Ingrid Bergman: In Her Own Words,Rialto,5216,3,10
3,72,92,In Jackson Heights,Zipp.,5063,4,11
3,73,57,Maze Runner: The Scorch Trials,Fox,4842,12,18
3,74,61,Remember,EOne,4262,5,14
3,75,70,The Letters,Free,4180,5,7
3,76,72,Flowers,MBox,3722,4,12
3,77,74,Born to Be Wild (IMAX),WB,3371,4,230
3,78,84,Under the Sea 3D,WB,3125,2,343
3,79,31,The Masked Saint,Free,3060,26,2
3,80,73,Woodlawn,PFR,2909,2,14
3,81,81,Burnt,Wein.,2690,4,12
3,82,,A Perfect Day,IFC,2501,2,1
3,83,89,Journey to the South Pacific,Imax,2113,2,94
3,84,71,Censored Voices,MBox,1554,2,9
3,85,82,Deep Sea 3D (IMAX),WB,1322,3,472
3,86,86,Yosemite,Mont.,723,4,3
3,87,,Dreams Rewired,Icar.,471,0,10
3,88,78,Noma - My Perfect Storm,Magn.,266,2,5
3,89,94,Space Station 3-D (IMAX),Imax,227,1,681
3,90,96,The Lady in the Car with Glasses and a Gun,Magn.,122,1,5
3,91,85,The World of Kanako,Drft.,105,1,7
4,1,2,The Revenant,Fox,22578846,3711,5
4,2,3,Star Wars: The Force Awakens,BV,19611816,3365,6
4,3,1,Ride Along 2,Uni.,16279650,3192,2
4,4,,Dirty Grandpa,LGF,15246010,2912,1
4,5,,The Boy (2016),STX,13633916,2671,1
4,6,,The 5th Wave,Sony,13188149,2908,1
4,7,4,13 Hours: The Secret Soldiers of Benghazi,Par.,12840416,2917,2
4,8,5,Daddy's Home,Par.,6470078,2789,5
4,9,6,Norm of the North,LGF,4796314,2411,2
4,10,8,The Big Short,Par.,4686636,1351,7
4,11,13,Brooklyn,FoxS,2806850,962,12
4,12,9,Sisters,Uni.,2436005,1602,6
4,13,7,The Forest,Focus,2193593,2010,3
4,14,20,Room,A24,2135991,862,15
4,15,10,The Hateful Eight,Wein.,2038307,1277,5
4,16,14,Spotlight,ORF,1936443,1030,12
4,17,12,Joy,Fox,1733986,966,5
4,18,11,Alvin and the Chipmunks: The Road Chip,Fox,1406314,1204,6
